District,Year,Season,Crop,Area,Production,Weather
JALNA,2013,Zaid,Jowar,403,955,Rainy
SANGLI,2006,Rabi,Cotton(lint),103,969,Sunny
GADCHIROLI,1999,Kharif,Soyabean,36,368,Sunny
JALNA,2012,Kharif,Jowar,74,865,Rainy
WARDHA,2006,Kharif,Groundnut,282,353,Sunny
NASHIK,2004,Zaid,Groundnut,325,307,Rainy
JALNA,1998,Zaid,Groundnut,264,587,Sunny
SATARA,2010,Kharif,Cotton(lint),471,570,Overcast 
WASHIM,2014,Zaid,Jowar,69,465,Overcast 
GADCHIROLI,2000,Rabi,Arhar/Tur,401,832,Rainy
JALGAON,2009,Rabi,Safflower,195,627,Sunny
NAGPUR,1999,Rabi,Groundnut,439,927,Overcast 
SINDHUDURG,2005,Kharif,Groundnut,221,333,Rainy
AKOLA,1998,Rabi,Groundnut,19,1100,Sunny
NANDED,2001,Rabi,Sunflower,229,1100,Rainy
SATARA,2009,Kharif,Cotton(lint),338,1100,Overcast 
SINDHUDURG,2013,Kharif,Other  Rabi pulses,459,1100,Rainy
SINDHUDURG,2014,Zaid,Other  Rabi pulses,371,1100,Overcast 
BEED,2014,Zaid,Groundnut,25,1000,Sunny
HINGOLI,2014,Rabi,Maize,58,1000,Overcast 
JALGAON,2008,Kharif,Sunflower,293,1000,Overcast 
KOLHAPUR,1997,Rabi,Moong(Green Gram),266,1000,Rainy
NANDED,2002,Zaid,Sunflower,134,1000,Sunny
OSMANABAD,2006,Zaid,Maize,274,1000,Rainy
WASHIM,1999,Kharif,Jowar,194,1000,Sunny
WASHIM,2013,Kharif,Other Kharif pulses,205,1000,Overcast 
SOLAPUR,2008,Zaid,Urad,481,900,Overcast 
WASHIM,2006,Rabi,Bajra,174,900,Rainy
AHMEDNAGAR,1997,Kharif,Urad,218,800,Overcast 
AMRAVATI,2011,Rabi,Other Kharif pulses,17,800,Overcast 
BEED,2003,Zaid,Maize,437,800,Sunny
JALGAON,2009,Kharif,Sunflower,257,800,Sunny
JALNA,1997,Kharif,Rice,432,800,Overcast 
PUNE,2009,Rabi,Sunflower,341,800,Sunny
SANGLI,2011,Zaid,Sunflower,53,800,Overcast 
SATARA,2006,Rabi,Sunflower,74,800,Rainy
SATARA,2013,Kharif,Arhar/Tur,228,800,Overcast 
AHMEDNAGAR,1999,Rabi,Other  Rabi pulses,234,700,Sunny
AKOLA,2010,Kharif,Sesamum,434,700,Sunny
JALNA,2001,Zaid,Groundnut,236,700,Sunny
PUNE,2002,Rabi,Sunflower,394,700,Sunny
SANGLI,2009,Zaid,Sunflower,446,700,Rainy
WASHIM,2004,Zaid,Bajra,417,700,Rainy
YAVATMAL,1998,Zaid,Other Kharif pulses,190,700,Sunny
DHULE,2011,Rabi,Rapeseed &Mustard,34,600,Overcast 
DHULE,2014,Rabi,Other Kharif pulses,365,600,Sunny
PARBHANI,2000,Rabi,Other  Rabi pulses,323,600,Sunny
PARBHANI,2003,Kharif,Maize,276,600,Sunny
SATARA,2010,Rabi,Niger seed,246,600,Overcast 
GADCHIROLI,2003,Kharif,Other Kharif pulses,492,500,Rainy
CHANDRAPUR,1999,Zaid,Urad,31,400,Sunny
HINGOLI,2005,Kharif,Sesamum,413,400,Sunny
NAGPUR,2004,Zaid,Other  Rabi pulses,287,400,Overcast 
NANDED,2005,Rabi,Niger seed,205,400,Overcast 
AURANGABAD,2002,Zaid,Linseed,241,300,Sunny
AURANGABAD,2005,Rabi,Linseed,180,300,Sunny
KOLHAPUR,2012,Rabi,Moong(Green Gram),129,300,Overcast 
NANDED,2004,Zaid,Other Kharif pulses,6,300,Overcast 
SATARA,2009,Zaid,Niger seed,221,300,Overcast 
WASHIM,2004,Rabi,Sesamum,381,300,Sunny
YAVATMAL,2008,Kharif,Sesamum,443,300,Sunny
AHMEDNAGAR,2013,Kharif,Safflower,244,200,Rainy
BEED,2008,Kharif,Castor seed,291,200,Overcast 
BHANDARA,2004,Zaid,Linseed,195,200,Rainy
NANDED,2007,Rabi,Soyabean,340,113,Sunny
NAGPUR,2003,Zaid,Mango,204,767,Rainy
RAIGAD,1997,Kharif,Total foodgrain,447,137,Rainy
PUNE,2005,Zaid,Sunflower,456,657,Sunny
AMRAVATI,2008,Zaid,Maize,66,596,Overcast 
NASHIK,2011,Rabi,Maize,402,717,Sunny
GADCHIROLI,2002,Rabi,Rice,84,881,Rainy
GADCHIROLI,2014,Rabi,Maize,279,332,Overcast 
PUNE,2006,Rabi,Maize,43,155,Rainy
AHMEDNAGAR,2013,Zaid,Groundnut,177,293,Overcast 
AHMEDNAGAR,1998,Kharif,Maize,431,651,Sunny
AHMEDNAGAR,2001,Zaid,Maize,214,665,Rainy
DHULE,2002,Zaid,Soyabean,111,259,Overcast 
JALGAON,2011,Kharif,Groundnut,396,810,Rainy
JALNA,2005,Kharif,Groundnut,128,413,Sunny
KOLHAPUR,2013,Rabi,Tobacco,49,368,Overcast 
BEED,2004,Kharif,Groundnut,4,114,Overcast 
BULDHANA,1998,Rabi,Sunflower,411,742,Sunny
SANGLI,2013,Zaid,Groundnut,138,923,Rainy
CHANDRAPUR,2000,Zaid,Rice,464,260,Overcast 
GADCHIROLI,2001,Rabi,Arhar/Tur,273,260,Rainy
KOLHAPUR,1997,Kharif,Maize,51,319,Sunny
SANGLI,2008,Zaid,Cotton(lint),343,301,Rainy
JALNA,1999,Kharif,Groundnut,300,350,Sunny
KOLHAPUR,2000,Kharif,Moong(Green Gram),374,683,Overcast 
SINDHUDURG,2003,Zaid,Groundnut,69,402,Sunny
THANE,2011,Zaid,Other Kharif pulses,193,649,Overcast 
JALNA,2004,Rabi,Groundnut,367,921,Rainy
PARBHANI,2008,Zaid,Maize,286,406,Sunny
SOLAPUR,2013,Rabi,Groundnut,340,644,Rainy
WARDHA,2003,Zaid,Groundnut,491,954,Sunny
BULDHANA,1999,Zaid,Sunflower,288,1100,Rainy
LATUR,2014,Rabi,Groundnut,457,1100,Sunny
SOLAPUR,2011,Zaid,Moong(Green Gram),283,1100,Overcast 
YAVATMAL,2009,Rabi,Bajra,341,1100,Overcast 
BEED,2001,Rabi,Maize,115,1000,Overcast 
BULDHANA,2005,Rabi,Sunflower,217,1000,Sunny
SINDHUDURG,2001,Rabi,Groundnut,257,1000,Sunny
WASHIM,2000,Zaid,Jowar,260,1000,Rainy
YAVATMAL,2000,Kharif,Small millets,251,1000,Rainy
NAGPUR,2006,Zaid,Urad,193,900,Rainy
NANDED,2011,Zaid,Sunflower,57,900,Rainy
PARBHANI,2005,Zaid,Sunflower,460,900,Sunny
WARDHA,2004,Rabi,Groundnut,226,900,Rainy
AKOLA,2002,Rabi,Sunflower,299,800,Sunny
CHANDRAPUR,2001,Zaid,Moong(Green Gram),245,800,Rainy
DHULE,2004,Kharif,Other Cereals & Millets,180,800,Rainy
PUNE,2001,Zaid,Small millets,246,800,Rainy
SATARA,2001,Rabi,Other  Rabi pulses,309,800,Sunny
SINDHUDURG,2012,Zaid,Other  Rabi pulses,327,800,Sunny
YAVATMAL,2008,Kharif,Bajra,30,800,Sunny
AKOLA,2009,Rabi,Sesamum,138,700,Rainy
GADCHIROLI,2009,Rabi,Gram,42,700,Sunny
JALGAON,2001,Zaid,Small millets,457,700,Rainy
JALNA,2008,Zaid,Sunflower,400,700,Overcast 
OSMANABAD,1999,Rabi,Other  Rabi pulses,452,700,Sunny
PARBHANI,2004,Zaid,Linseed,341,700,Sunny
SATARA,2005,Zaid,Sunflower,211,700,Sunny
SOLAPUR,2013,Kharif,Safflower,56,700,Sunny
SANGLI,2013,Rabi,Sunflower,15,690,Sunny
AKOLA,2004,Rabi,Sunflower,229,600,Sunny
BEED,2001,Rabi,Sunflower,15,600,Rainy
BULDHANA,2004,Zaid,Sunflower,307,600,Rainy
NASHIK,2004,Kharif,Other  Rabi pulses,163,600,Overcast 
PARBHANI,2002,Kharif,Other  Rabi pulses,61,600,Overcast 
PARBHANI,2014,Kharif,Maize,299,600,Rainy
SANGLI,2010,Kharif,Sunflower,330,600,Overcast 
SINDHUDURG,2000,Zaid,Other Kharif pulses,433,600,Rainy
SOLAPUR,2012,Kharif,Groundnut,261,600,Sunny
AHMEDNAGAR,2012,Zaid,Other  Rabi pulses,89,500,Overcast 
GADCHIROLI,2004,Zaid,Other Kharif pulses,54,500,Sunny
KOLHAPUR,2011,Kharif,Niger seed,415,500,Overcast 
NANDED,2001,Zaid,Other Kharif pulses,351,500,Overcast 
PUNE,1998,Kharif,Sunflower,451,500,Rainy
PUNE,1999,Rabi,Sunflower,464,500,Rainy
PUNE,2008,Rabi,Sesamum,195,500,Rainy
AHMEDNAGAR,2014,Kharif,Niger seed,486,400,Rainy
AMRAVATI,2002,Rabi,Other Kharif pulses,127,400,Rainy
BHANDARA,2000,Kharif,Jowar,165,400,Rainy
HINGOLI,2002,Kharif,Linseed,388,400,Sunny
KOLHAPUR,2006,Kharif,Niger seed,109,400,Sunny
KOLHAPUR,2014,Zaid,Arhar/Tur,339,400,Sunny
PARBHANI,2005,Zaid,Linseed,351,400,Sunny
AURANGABAD,2012,Zaid,Castor seed,288,300,Sunny
GADCHIROLI,2002,Rabi,Linseed,102,300,Sunny
NAGPUR,2005,Rabi,Moong(Green Gram),391,300,Overcast 
NANDED,2001,Zaid,Niger seed,85,300,Rainy
NANDED,2006,Zaid,Rapeseed &Mustard,510,300,Rainy
SOLAPUR,2001,Rabi,Moong(Green Gram),301,300,Rainy
AMRAVATI,2003,Rabi,Sesamum,176,200,Sunny
RAIGAD,2012,Rabi,Arhar/Tur,220,200,Overcast 
SATARA,2012,Kharif,Arhar/Tur,48,200,Sunny
NAGPUR,1997,Rabi,Total foodgrain,316,882,Rainy
GADCHIROLI,2007,Kharif,Rice,485,703,Overcast 
AMRAVATI,1997,Rabi,Pulses total,101,877,Rainy
JALNA,2007,Kharif,Jowar,154,440,Rainy
GADCHIROLI,1997,Zaid,Total foodgrain,398,482,Overcast 
AKOLA,2009,Zaid,Maize,27,379,Sunny
AMRAVATI,2009,Kharif,Maize,343,351,Rainy
NASHIK,2001,Zaid,Maize,427,522,Rainy
DHULE,1997,Zaid,Maize,297,112,Sunny
NASHIK,2003,Zaid,Groundnut,342,655,Sunny
SOLAPUR,2009,Zaid,Cotton(lint),77,856,Rainy
DHULE,1998,Zaid,Maize,385,451,Overcast 
NANDURBAR,2003,Zaid,Soyabean,34,634,Overcast 
PUNE,2001,Zaid,Maize,80,941,Overcast 
AMRAVATI,2012,Zaid,Maize,15,142,Sunny
NANDURBAR,2011,Rabi,Maize,108,213,Rainy
AMRAVATI,2004,Rabi,Maize,273,881,Sunny
GADCHIROLI,1998,Kharif,Soyabean,396,889,Sunny
WARDHA,1999,Zaid,Groundnut,60,550,Sunny
AKOLA,2001,Rabi,Groundnut,294,465,Rainy
NAGPUR,1998,Kharif,Groundnut,112,503,Overcast 
PARBHANI,2009,Rabi,Maize,142,390,Overcast 
JALGAON,2009,Kharif,Groundnut,206,411,Rainy
LATUR,1998,Kharif,Groundnut,489,942,Rainy
NASHIK,2011,Rabi,Groundnut,338,434,Sunny
SATARA,2008,Rabi,Cotton(lint),69,289,Rainy
JALNA,2000,Kharif,Groundnut,374,490,Rainy
SANGLI,2014,Kharif,Cotton(lint),144,116,Sunny
BEED,2012,Rabi,Groundnut,314,568,Sunny
PARBHANI,2000,Rabi,Maize,144,233,Overcast 
PARBHANI,2010,Kharif,Maize,14,719,Rainy
WARDHA,2005,Kharif,Groundnut,464,381,Overcast 
AMRAVATI,2004,Rabi,Groundnut,405,1100,Rainy
AURANGABAD,2011,Kharif,Urad,490,1100,Sunny
SINDHUDURG,2002,Kharif,Groundnut,193,1100,Overcast 
SINDHUDURG,2004,Zaid,Groundnut,259,1100,Overcast 
AKOLA,2000,Zaid,Groundnut,248,1000,Rainy
GADCHIROLI,1997,Zaid,Wheat,30,1000,Rainy
NANDED,1999,Kharif,Small millets,304,1000,Overcast 
NANDED,2000,Zaid,Small millets,391,1000,Sunny
NANDED,2004,Zaid,Sunflower,337,1000,Sunny
AHMEDNAGAR,2001,Kharif,Small millets,461,900,Rainy
BULDHANA,2002,Kharif,Groundnut,78,900,Overcast 
GADCHIROLI,2011,Zaid,Jowar,17,900,Sunny
KOLHAPUR,1999,Kharif,Moong(Green Gram),35,900,Sunny
RAIGAD,2002,Kharif,Gram,465,900,Overcast 
YAVATMAL,1998,Rabi,Safflower,128,900,Sunny
YAVATMAL,1999,Rabi,Safflower,325,900,Overcast 
JALGAON,1998,Zaid,Other Cereals & Millets,215,800,Rainy
PARBHANI,2005,Rabi,Sunflower,303,800,Sunny
SANGLI,2013,Rabi,Sunflower,183,800,Overcast 
SATARA,2004,Kharif,Sunflower,410,800,Sunny
SINDHUDURG,1999,Zaid,Groundnut,30,800,Sunny
AKOLA,2005,Rabi,Bajra,212,700,Sunny
GADCHIROLI,2008,Zaid,Gram,373,700,Sunny
HINGOLI,2001,Kharif,Linseed,205,700,Overcast 
KOLHAPUR,1998,Rabi,Moong(Green Gram),266,700,Overcast 
WASHIM,2005,Rabi,Bajra,59,700,Rainy
AKOLA,2004,Rabi,Bajra,390,600,Overcast 
BHANDARA,1999,Rabi,Jowar,362,600,Rainy
CHANDRAPUR,2000,Zaid,Urad,175,600,Overcast 
LATUR,1998,Kharif,Other  Rabi pulses,50,600,Rainy
NANDURBAR,2012,Kharif,Other Kharif pulses,323,600,Sunny
THANE,2003,Kharif,Other Kharif pulses,481,600,Rainy
AHMEDNAGAR,2012,Rabi,Sunflower,192,500,Overcast 
AURANGABAD,2012,Zaid,Urad,115,500,Rainy
LATUR,2004,Rabi,Other  Rabi pulses,188,500,Sunny
NAGPUR,2008,Zaid,Moong(Green Gram),477,500,Rainy
PARBHANI,1999,Rabi,Other Kharif pulses,316,500,Sunny
SANGLI,1998,Rabi,Niger seed,401,500,Overcast 
SINDHUDURG,2000,Zaid,Groundnut,422,500,Rainy
AHMEDNAGAR,2008,Zaid,Niger seed,221,400,Rainy
CHANDRAPUR,2001,Zaid,Other Kharif pulses,449,400,Sunny
GADCHIROLI,2010,Rabi,Sesamum,59,400,Rainy
NANDED,2003,Zaid,Other Kharif pulses,180,400,Rainy
NASHIK,1998,Kharif,Sunflower,459,400,Overcast 
SINDHUDURG,2003,Rabi,Other Kharif pulses,76,400,Sunny
THANE,1999,Rabi,Other Kharif pulses,64,400,Sunny
YAVATMAL,2003,Kharif,Other Kharif pulses,390,400,Rainy
BEED,2000,Rabi,Castor seed,287,300,Rainy
BEED,2002,Rabi,Small millets,152,300,Overcast 
BEED,2009,Kharif,Linseed,437,300,Rainy
BEED,2010,Zaid,Linseed,14,300,Overcast 
GADCHIROLI,2001,Zaid,Sesamum,105,300,Sunny
GONDIA,2013,Rabi,Sesamum,429,300,Rainy
KOLHAPUR,2012,Zaid,Urad,298,300,Rainy
LATUR,2012,Rabi,Rapeseed &Mustard,337,300,Sunny
NANDED,2004,Kharif,Niger seed,186,300,Rainy
NASHIK,2004,Zaid,other oilseeds,278,300,Rainy
PARBHANI,2002,Zaid,Linseed,302,300,Rainy
PARBHANI,2003,Zaid,Linseed,134,300,Rainy
PARBHANI,2009,Kharif,Linseed,365,300,Overcast 
PARBHANI,2010,Rabi,Linseed,218,300,Sunny
AURANGABAD,2008,Zaid,Sesamum,318,200,Overcast 
HINGOLI,2012,Zaid,Other Kharif pulses,242,200,Overcast 
NANDED,2013,Rabi,Sesamum,77,200,Rainy
PARBHANI,2012,Kharif,Rice,206,100,Sunny
PUNE,2009,Rabi,Sesamum,379,100,Overcast 
SOLAPUR,2002,Kharif,Small millets,245,100,Rainy
SANGLI,2007,Rabi,Jowar,14,902,Overcast 
THANE,2007,Kharif,Rice,213,466,Rainy
NANDED,1997,Kharif,Pulses total,156,242,Rainy
LATUR,2007,Zaid,Jowar,96,669,Overcast 
AHMEDNAGAR,2007,Zaid,Wheat,350,931,Rainy
NANDURBAR,2011,Zaid,Maize,250,463,Rainy
AURANGABAD,2009,Zaid,Maize,297,541,Overcast 
GONDIA,2004,Zaid,Rice,111,822,Rainy
AHMEDNAGAR,2003,Rabi,Groundnut,282,395,Sunny
PARBHANI,1998,Zaid,Maize,369,628,Sunny
PARBHANI,2001,Rabi,Maize,472,227,Rainy
PUNE,1999,Kharif,Maize,364,947,Rainy
SATARA,2004,Rabi,Maize,477,217,Sunny
KOLHAPUR,2014,Zaid,Tobacco,472,670,Rainy
NASHIK,1997,Rabi,Maize,369,743,Rainy
LATUR,2004,Kharif,Maize,467,711,Sunny
SOLAPUR,2001,Rabi,Maize,482,142,Sunny
SANGLI,2012,Rabi,Groundnut,333,337,Sunny
AURANGABAD,2000,Rabi,Maize,416,428,Sunny
GADCHIROLI,2012,Kharif,Jowar,242,668,Sunny
WASHIM,2001,Zaid,Jowar,165,954,Overcast 
SOLAPUR,1997,Rabi,Jowar,347,458,Rainy
WASHIM,2001,Kharif,Rice,292,773,Rainy
YAVATMAL,1998,Rabi,Groundnut,38,229,Sunny
GADCHIROLI,1998,Kharif,Wheat,85,723,Rainy
SATARA,2014,Zaid,Other  Rabi pulses,1,754,Sunny
LATUR,1999,Zaid,Groundnut,433,1100,Overcast 
NANDED,2003,Rabi,Sunflower,319,1100,Rainy
SINDHUDURG,1998,Rabi,Groundnut,67,1100,Rainy
AMRAVATI,2005,Zaid,Groundnut,128,1000,Sunny
GADCHIROLI,1999,Rabi,Small millets,361,1000,Overcast 
JALGAON,2008,Kharif,Groundnut,22,1000,Rainy
OSMANABAD,2013,Kharif,Maize,269,1000,Sunny
AMRAVATI,2006,Kharif,Groundnut,15,900,Rainy
AMRAVATI,2011,Rabi,Sunflower,391,900,Overcast 
CHANDRAPUR,2000,Rabi,Small millets,412,900,Sunny
PARBHANI,2002,Kharif,Maize,280,900,Rainy
RAIGAD,2003,Kharif,Gram,66,900,Rainy
SOLAPUR,1998,Rabi,Jowar,274,900,Rainy
WARDHA,1998,Rabi,Moong(Green Gram),197,900,Overcast 
AHMEDNAGAR,2013,Kharif,Sunflower,40,800,Rainy
AKOLA,2000,Rabi,Small millets,325,800,Rainy
AURANGABAD,2011,Zaid,Safflower,46,800,Overcast 
NASHIK,1998,Zaid,Safflower,408,800,Overcast 
OSMANABAD,2014,Kharif,Maize,450,800,Sunny
PUNE,2000,Kharif,Small millets,92,800,Overcast 
RAIGAD,2011,Rabi,Arhar/Tur,326,800,Overcast 
SANGLI,2014,Kharif,Sunflower,105,800,Overcast 
GADCHIROLI,2011,Zaid,Other Kharif pulses,396,700,Rainy
HINGOLI,2000,Kharif,Sunflower,472,700,Sunny
JALGAON,2000,Rabi,Sunflower,462,700,Rainy
JALGAON,2008,Zaid,Safflower,183,700,Overcast 
JALNA,1999,Rabi,Rice,28,700,Rainy
NAGPUR,2011,Kharif,Linseed,98,700,Overcast 
NASHIK,2001,Kharif,Other  Rabi pulses,191,700,Overcast 
OSMANABAD,2011,Rabi,Groundnut,230,700,Rainy
PARBHANI,2003,Zaid,Other  Rabi pulses,396,700,Overcast 
SANGLI,2008,Kharif,Sunflower,425,700,Rainy
WARDHA,2009,Rabi,Jowar,304,700,Overcast 
YAVATMAL,2010,Kharif,Bajra,22,700,Sunny
AMRAVATI,2002,Zaid,Small millets,338,600,Rainy
BEED,2014,Rabi,Maize,224,600,Rainy
GADCHIROLI,2001,Zaid,Small millets,128,600,Sunny
GONDIA,2012,Rabi,Sesamum,398,600,Rainy
OSMANABAD,1998,Kharif,Other  Rabi pulses,32,600,Sunny
RAIGAD,1997,Kharif,Arhar/Tur,474,600,Rainy
RAIGAD,2010,Kharif,Arhar/Tur,209,600,Sunny
SANGLI,2012,Kharif,Sunflower,452,600,Overcast 
SATARA,2009,Kharif,Safflower,171,600,Overcast 
SOLAPUR,2003,Rabi,Moong(Green Gram),110,600,Sunny
THANE,2004,Zaid,Other Kharif pulses,499,600,Sunny
AMRAVATI,2003,Rabi,Rapeseed &Mustard,170,500,Overcast 
AMRAVATI,2008,Zaid,Groundnut,263,500,Rainy
BEED,2003,Zaid,Small millets,257,500,Sunny
HINGOLI,2014,Kharif,Maize,176,500,Overcast 
JALGAON,2013,Kharif,Other Kharif pulses,156,500,Sunny
NAGPUR,2014,Kharif,Moong(Green Gram),461,500,Sunny
NANDED,1999,Kharif,Sunflower,425,500,Overcast 
OSMANABAD,2001,Zaid,Other  Rabi pulses,195,500,Overcast 
SINDHUDURG,2004,Rabi,Other Kharif pulses,221,500,Sunny
WARDHA,1999,Zaid,Moong(Green Gram),263,500,Sunny
YAVATMAL,2005,Kharif,Castor seed,223,500,Rainy
AHMEDNAGAR,2003,Kharif,Small millets,440,400,Rainy
CHANDRAPUR,1998,Zaid,Sesamum,129,400,Overcast 
CHANDRAPUR,1999,Rabi,Sesamum,147,400,Overcast 
CHANDRAPUR,2001,Kharif,Sesamum,462,400,Sunny
GADCHIROLI,2000,Zaid,Sesamum,349,400,Sunny
HINGOLI,2000,Rabi,Linseed,47,400,Overcast 
JALGAON,1998,Kharif,Sunflower,14,400,Overcast 
LATUR,2000,Zaid,Other  Rabi pulses,490,400,Rainy
PUNE,2001,Kharif,Sunflower,116,400,Rainy
SANGLI,2012,Kharif,Sunflower,177,400,Overcast 
SATARA,2003,Zaid,Small millets,155,400,Sunny
SATARA,2014,Kharif,Arhar/Tur,5,400,Sunny
WARDHA,2000,Rabi,Moong(Green Gram),272,400,Overcast 
AHMEDNAGAR,2001,Zaid,Linseed,264,300,Rainy
AMRAVATI,2003,Zaid,Other Kharif pulses,425,300,Rainy
CHANDRAPUR,2011,Zaid,Other Kharif pulses,256,300,Sunny
LATUR,2003,Kharif,Linseed,434,300,Overcast 
LATUR,2003,Rabi,Other  Rabi pulses,183,300,Overcast 
NAGPUR,2014,Rabi,Other  Rabi pulses,229,300,Sunny
NANDED,2014,Zaid,Sunflower,275,300,Overcast 
NANDURBAR,2014,Zaid,Other Kharif pulses,389,300,Rainy
OSMANABAD,2001,Kharif,Other Kharif pulses,290,300,Sunny
OSMANABAD,2004,Rabi,Other  Rabi pulses,415,300,Sunny
OSMANABAD,2014,Rabi,Castor seed,97,300,Rainy
SATARA,2003,Rabi,Sunflower,405,300,Overcast 
AHMEDNAGAR,2002,Rabi,Sesamum,351,200,Overcast 
BEED,2003,Kharif,other oilseeds,153,200,Overcast 
NANDED,2008,Rabi,Niger seed,381,200,Sunny
PARBHANI,2004,Rabi,Other Kharif pulses,332,200,Sunny
PUNE,2003,Zaid,Sunflower,141,200,Sunny
SANGLI,2004,Rabi,Cotton(lint),438,200,Sunny
YAVATMAL,2014,Kharif,Maize,319,200,Overcast 
NANDED,2014,Kharif,Sesamum,505,100,Overcast 
SOLAPUR,2012,Kharif,Other Kharif pulses,312,100,Rainy
WARDHA,2003,Kharif,Mango,284,141,Sunny
RAIGAD,2007,Kharif,Rice,114,117,Overcast 
JALGAON,1997,Kharif,Pulses total,212,635,Rainy
JALGAON,2007,Zaid,Jowar,237,897,Overcast 
SOLAPUR,2003,Kharif,Onion,160,229,Sunny
PUNE,2004,Rabi,Soyabean,14,611,Overcast 
AMRAVATI,2011,Kharif,Maize,55,260,Rainy
GADCHIROLI,2011,Rabi,Maize,439,882,Rainy
AMRAVATI,2012,Rabi,Maize,250,713,Sunny
JALGAON,2004,Kharif,Maize,334,104,Overcast 
AMRAVATI,2003,Zaid,Maize,453,326,Rainy
GADCHIROLI,2010,Rabi,Maize,199,698,Overcast 
BULDHANA,2003,Kharif,Maize,484,375,Overcast 
PUNE,1997,Zaid,Maize,251,352,Rainy
PUNE,2002,Zaid,Maize,174,884,Overcast 
SANGLI,2000,Zaid,Groundnut,345,108,Rainy
SANGLI,2002,Kharif,Maize,180,793,Sunny
SANGLI,1999,Zaid,Groundnut,409,966,Rainy
AHMEDNAGAR,2006,Kharif,Maize,106,365,Sunny
HINGOLI,2013,Zaid,Maize,394,315,Sunny
SANGLI,2011,Rabi,Groundnut,46,613,Overcast 
PARBHANI,1999,Kharif,Maize,464,145,Rainy
OSMANABAD,1998,Zaid,Other Cereals & Millets,266,571,Rainy
WARDHA,1998,Zaid,Groundnut,254,167,Sunny
AKOLA,1998,Rabi,Sunflower,150,781,Rainy
GADCHIROLI,2006,Zaid,Wheat,15,833,Sunny
GADCHIROLI,2014,Zaid,Wheat,422,668,Overcast 
BULDHANA,1998,Zaid,Other Cereals & Millets,210,1100,Sunny
BULDHANA,1999,Zaid,Small millets,293,1000,Overcast 
JALNA,2002,Rabi,Groundnut,297,1000,Sunny
JALNA,2004,Rabi,Groundnut,268,1000,Sunny
SINDHUDURG,2014,Kharif,Groundnut,13,1000,Rainy
JALNA,2005,Kharif,Groundnut,460,900,Overcast 
PALGHAR,2014,Rabi,Gram,435,900,Rainy
PARBHANI,1997,Rabi,Maize,440,900,Overcast 
SOLAPUR,2013,Zaid,Moong(Green Gram),434,900,Overcast 
AMRAVATI,1998,Rabi,Other Cereals & Millets,104,800,Sunny
AMRAVATI,2006,Kharif,Castor seed,10,800,Overcast 
GADCHIROLI,2000,Kharif,Small millets,346,800,Rainy
JALNA,2006,Kharif,Groundnut,91,800,Overcast 
PALGHAR,2014,Zaid,Sunflower,475,800,Rainy
RAIGAD,2004,Rabi,Gram,340,800,Rainy
SINDHUDURG,1998,Kharif,Other Cereals & Millets,495,800,Sunny
SOLAPUR,2014,Zaid,Moong(Green Gram),133,800,Sunny
JALGAON,1998,Kharif,Sunflower,194,700,Sunny
JALGAON,2001,Rabi,Rice,402,700,Rainy
JALGAON,2010,Kharif,Sunflower,208,700,Overcast 
JALNA,2000,Kharif,Rice,31,700,Rainy
WARDHA,2006,Zaid,Sunflower,152,700,Rainy
WARDHA,2010,Kharif,Jowar,489,700,Sunny
AURANGABAD,1998,Kharif,Rice,237,600,Rainy
BULDHANA,2002,Kharif,Sunflower,208,600,Sunny
HINGOLI,2000,Zaid,Sunflower,259,600,Sunny
JALGAON,2006,Rabi,Sunflower,13,600,Rainy
KOLHAPUR,2013,Rabi,Other  Rabi pulses,425,600,Overcast 
NASHIK,2000,Kharif,Sunflower,425,600,Rainy
OSMANABAD,2001,Zaid,Small millets,314,600,Overcast 
PUNE,2004,Rabi,Sunflower,327,600,Overcast 
SATARA,2006,Rabi,Sunflower,184,600,Overcast 
THANE,2005,Zaid,Moong(Green Gram),48,600,Overcast 
AMRAVATI,2004,Rabi,other oilseeds,436,500,Overcast 
BEED,2011,Kharif,Sunflower,228,500,Overcast 
LATUR,1999,Rabi,Other  Rabi pulses,276,500,Sunny
NAGPUR,2010,Kharif,Linseed,133,500,Rainy
RAIGAD,2014,Kharif,Arhar/Tur,482,500,Overcast 
SATARA,2000,Rabi,Other  Rabi pulses,313,500,Overcast 
SOLAPUR,2012,Zaid,Moong(Green Gram),501,500,Overcast 
AHMEDNAGAR,1998,Rabi,Linseed,430,400,Sunny
AHMEDNAGAR,2005,Kharif,Linseed,290,400,Rainy
BEED,1999,Kharif,Rapeseed &Mustard,504,400,Rainy
CHANDRAPUR,2002,Rabi,Moong(Green Gram),364,400,Sunny
GADCHIROLI,1999,Kharif,Sesamum,116,400,Overcast 
HINGOLI,2009,Kharif,Rice,49,400,Sunny
JALGAON,1999,Kharif,Sunflower,198,400,Sunny
LATUR,2002,Kharif,Other  Rabi pulses,302,400,Sunny
LATUR,2011,Zaid,Rapeseed &Mustard,324,400,Sunny
NANDURBAR,2005,Zaid,Castor seed,280,400,Overcast 
NASHIK,2001,Kharif,Sunflower,316,400,Overcast 
PUNE,2013,Rabi,Sesamum,170,400,Sunny
SATARA,2011,Rabi,Niger seed,454,400,Rainy
AHMEDNAGAR,2000,Kharif,Linseed,321,300,Overcast 
AURANGABAD,2013,Zaid,Other Kharif pulses,103,300,Sunny
BEED,2002,Rabi,Castor seed,470,300,Overcast 
